name,category,code,serial,model,supplier,purchase_date,location,condition_note,notes,qty_total
Type C Charger,Power & Electrical,EQ-0001,,,,,Microprocessor Lab,Active,Physical verification: none borrowed; all present at count.,5
Arduino Kit,Embedded & Trainer Kits,EQ-0002,,,,,Microprocessor Lab,Active,,6
Breadboard,"Test, Tools & Components",EQ-0003,,,,,Microprocessor Lab,Active,,9
Multimeter,"Test, Tools & Components",EQ-0004,,,,,Microprocessor Lab,Active,,10
GA to HDMI Conerter,"Cables, Storage & Accessories",EQ-0005,,,,,Microprocessor Lab,Active,,9
RFID Card,"Cables, Storage & Accessories",EQ-0006,,,,,Microprocessor Lab,Active,,10
Raspberry PI4 and 4 Casting,Embedded & Trainer Kits,EQ-0007,,,,,Microprocessor Lab,Active,,5
Card Reader,"Cables, Storage & Accessories",EQ-0008,,,,,Microprocessor Lab,Active,,5
Memory Cards,"Cables, Storage & Accessories",EQ-0009,,,,,Microprocessor Lab,Active,,5
HDMI Cables,"Cables, Storage & Accessories",EQ-0010,,,,,Microprocessor Lab,Active,,5
Resistor Kit Box,"Test, Tools & Components",EQ-0011,,,,,Microprocessor Lab,Active,,1
Sound Kit Box,"Test, Tools & Components",EQ-0012,,,,,Microprocessor Lab,Active,,1
Power Kit Box,"Test, Tools & Components",EQ-0013,,,,,Microprocessor Lab,Active,,1
Chips Kit Box,Embedded & Trainer Kits,EQ-0014,,,,,Microprocessor Lab,Active,,1
Speaker Stand,Input / Output & Peripherals,EQ-0015,,,,,Microprocessor Lab,Active,,1
Hardware tools Box,"Test, Tools & Components",EQ-0016,,,,,Microprocessor Lab,Active,,1
Boards Kit Box,Embedded & Trainer Kits,EQ-0017,,,,,Microprocessor Lab,Active,,1
Damaged Printers,Input / Output & Peripherals,EQ-0018,,,,,Work Station,Faulty,Physical count: faulty - requires assessment.,7
Suite Stand-Hanger,"Furniture, Safety & Office",EQ-0019,,,,,Olaitan Office,Active,,1
